model-obs-name,test,season,p,ss,slope,lcl,ucl
NanooseObs_1970-2018,mann-kendall 3pw,season 1,0.18499169619505862,-1,0.004335762155391543,-0.004256207980669859,0.014460626359865052
NanooseObs_1970-2018,mann-kendall 3pw,season 2,0.06348809452843462,-1,0.011903852687303864,0.0025284577269000844,0.02136578604487463
NanooseObs_1970-2018,mann-kendall 3pw,season 3,0.09946385701802929,-1,0.009151293031319022,-0.0006822020538674525,0.019816125276895098
NanooseObs_1970-2018,mann-kendall 3pw,season 4,0.058274090514486954,-1,0.008965308755332885,-3.6405772460226808e-06,0.017583340032007466
NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-0,0.3734625192941421,-1,0.002088477762617349,-0.008867183622709636,0.012115309333551032
NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-1,0.09298852265380453,-1,0.009700118652662378,-0.0032482253898290887,0.024312150436809607
NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-2,0.2301838321076315,-1,0.0025014635447539123,-0.006835886116248791,0.011885720311322926
NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-3,0.8939398323209,-1,-0.0022009509411085953,-0.014084292401281928,0.009374213094394828
NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-4,0.04918095120226962,95,nan,nan,nan
NanooseObs_1970-2018,"mann kendall 3pw all seasons, nonseasonal mk",season-0,0.056942294900004464,-1,0.003300253235415429,-0.002330418876111143,0.008741948905185157
NanooseObs_1970-2018,"mann kendall 3pw all seasons, nonseasonal mk",season-1,0.056942294900004464,-1,0.003300253235415429,-0.002330418876111143,0.008741948905185157
