model-obs-name,test,season,p,ss,slope,lcl,ucl
HOTSS_v1.01,mann-kendall 3pw,season 1,0.4952867602977147,0,0.002930603721696281,-0.004146091955314511,0.010908868398662503
HOTSS_v1.01,mann-kendall 3pw,season 2,0.36145300334070685,0,0.004324266993445237,-0.005181663190674106,0.014003291095807903
HOTSS_v1.01,mann-kendall 3pw,season 3,0.7130236652556572,0,0.0017890495976059754,-0.007097156991293854,0.012251133904332561
HOTSS_v1.01,mann-kendall 3pw,season 4,0.38087509602077274,0,0.003438091546963808,-0.003125860769769799,0.009962063330801706
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-0,0.6999147656727214,0,0.0037820212884004034,-0.013574249856154217,0.019505443035967792
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-1,0.33965861770668027,-1,0.006065822162149462,-0.005777250555817878,0.018890368035902556
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-2,0.9398714539943918,-1,-0.0017207998951809945,-0.011571188634264993,0.00848466948272976
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-3,0.8444667630816367,0,0.0006771749816554449,-0.015690907542811768,0.01269850855223055
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-4,0.4681050442586221,-1,nan,nan,nan
HOTSS_v1.01,"mann kendall 3pw all seasons, nonseasonal mk",season-0,0.5037295788963585,-1,0.00183293058695623,-0.0044988920120553255,0.007852527069269487
HOTSS_v1.01,"mann kendall 3pw all seasons, nonseasonal mk",season-1,0.5037295788963585,-1,0.00183293058695623,-0.0044988920120553255,0.007852527069269487
