model-obs-name,test,season,p,ss,slope,lcl,ucl
HOTSS_v1.01,mann-kendall 3pw,season 1,0.7835801504291398,0,0.0018153278291852058,-0.00631249812535432,0.00890846204969732
HOTSS_v1.01,mann-kendall 3pw,season 2,0.9055957937612324,0,0.0008441660471251336,-0.00650764667537662,0.009988380762281862
HOTSS_v1.01,mann-kendall 3pw,season 3,0.47672905828844625,0,0.0038963679588044898,-0.004927592736375583,0.013387144200230275
HOTSS_v1.01,mann-kendall 3pw,season 4,0.5142234581271419,0,0.004316387396709446,-0.005040273275025538,0.01511068496787688
HOTSS_v1.01,mann-kendall 3pw,season 5,0.6728442148625922,0,0.004282270145212614,-0.005771811945652516,0.01296335709122148
HOTSS_v1.01,mann-kendall 3pw,season 6,0.7334631920155024,0,0.0024595205248877706,-0.007621014761344699,0.012435360598530582
HOTSS_v1.01,mann-kendall 3pw,season 7,0.7334631920155024,0,0.0014548882812920859,-0.007528985007106448,0.011306187297882426
HOTSS_v1.01,mann-kendall 3pw,season 8,0.7443201343805719,0,0.002466474046063375,-0.007034501096835833,0.011386211284073102
HOTSS_v1.01,mann-kendall 3pw,season 9,0.4407833666003569,0,0.003379234385284869,-0.0055279557670483235,0.011783368026612657
HOTSS_v1.01,mann-kendall 3pw,season 10,0.3530961293655652,0,0.003117097758914392,-0.004056413812103386,0.009901916842865791
HOTSS_v1.01,mann-kendall 3pw,season 11,0.31389928595925776,0,0.003901597293312746,-0.0027791241476776765,0.01046074008433358
HOTSS_v1.01,mann-kendall 3pw,season 12,0.42340961568627655,0,0.0027426902042610468,-0.004852490299433183,0.009383881650038471
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-0,0.24778083040054266,0,-0.026039394974091627,-0.058167031476908895,0.0038589945053077892
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-1,0.6283848735156932,-1,0.005405269251986684,-0.021143883185810737,0.036130437830990444
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-2,0.06144494404678191,-1,0.027089800884605494,0.001901524973557444,0.04229192285832114
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-3,0.45597179082236305,-1,0.014463015586389493,-0.015465221276745367,0.044058935263623714
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-4,0.947859977968412,-1,-0.0027840546360954907,-0.019222021626133564,0.01563456518752926
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-5,0.40668256873463315,-1,-0.01205961089186735,-0.028422084090826992,0.008270028631278742
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-6,0.092058968036413,-1,-0.015115938619745233,-0.026877401561928478,-0.001767556245796484
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-7,0.8444667630816367,-1,0.00094574256530597,-0.027588001014331842,0.027385296837871855
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-8,0.8037485428824773,0,-0.009563890179194488,-0.04730676707275167,0.02547552473296936
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-9,0.9270476335695783,-1,0.0004641588877953988,-0.029817552985400012,0.032984261731134876
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-10,0.7436890405792607,-1,0.002186379502808353,-0.019387978775654666,0.026449293155781185
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-11,0.15460301816682231,-1,0.01331563465698027,-0.004022003829194532,0.035487324195864846
HOTSS_v1.01,"mann kendall 3pw all seasons, seasonal mk",season-12,0.7727137109062214,-1,nan,nan,nan
HOTSS_v1.01,"mann kendall 3pw all seasons, nonseasonal mk",season-0,0.5990728920282749,-1,0.0008249104167094394,-0.005879803015116072,0.007750991773691935
HOTSS_v1.01,"mann kendall 3pw all seasons, nonseasonal mk",season-1,0.5990728920282749,-1,0.0008249104167094394,-0.005879803015116072,0.007750991773691935
