model-obs-name,test,season,p,ss,slope,lcl,ucl
NanooseObs_1970-2018,mann-kendall 3pw,season 1,0.035230431055646605,95,0.013723772026068604,0.0022252952961296026,0.025987942315546415
NanooseObs_1970-2018,mann-kendall 3pw,season 2,0.11352529377736809,-1,0.011685003715220592,-0.0004722157494471245,0.023583558635828634
NanooseObs_1970-2018,mann-kendall 3pw,season 3,0.30149552170586214,-1,0.006048554744681477,-0.005326403494778276,0.0159432841198518
NanooseObs_1970-2018,mann-kendall 3pw,season 4,0.00827904897359577,95,0.022738953024337802,0.00748598213328165,0.03549630409716013
NanooseObs_1970-2018,mann-kendall 3pw,season 5,0.13725539302831113,-1,0.009363712544335637,-0.0018069004879847001,0.019555112131386193
NanooseObs_1970-2018,mann-kendall 3pw,season 6,0.11694867361133054,-1,0.010187433707896123,-1.1709132107497824e-05,0.020338465502064213
NanooseObs_1970-2018,mann-kendall 3pw,season 7,0.10344089648685939,-1,0.012627572196131712,0.0019408247432612584,0.021990326725282255
NanooseObs_1970-2018,mann-kendall 3pw,season 8,0.08015846195775667,-1,0.012305191596218682,0.0008676172801119069,0.022627963637161068
NanooseObs_1970-2018,mann-kendall 3pw,season 9,0.25841287570987026,-1,0.010933821847100133,0.00028049404645905877,0.023038793737958845
NanooseObs_1970-2018,mann-kendall 3pw,season 10,0.11168847692973327,-1,0.010978185780956932,0.000421622677996838,0.023626320414752294
NanooseObs_1970-2018,mann-kendall 3pw,season 11,0.07185237602881256,-1,0.013057266839532053,0.0002482166855970917,0.02456786641258635
NanooseObs_1970-2018,mann-kendall 3pw,season 12,0.17856166166885767,-1,0.008275922875277564,-0.002172987848416287,0.019385940037783086
NanooseObs_1970-2018,mann-kendall 3pw,season 13,0.03129956141415091,95,0.015351837561310486,0.003822847086833902,0.02722533870064604
NanooseObs_1970-2018,mann-kendall 3pw,season 14,0.03121368510682654,95,0.011588874150350724,0.0005676641982969241,0.022277065370804858
NanooseObs_1970-2018,mann-kendall 3pw,season 15,0.022863431302471593,95,0.013462980089876104,0.0031974150324974265,0.021676950636102248
NanooseObs_1970-2018,mann-kendall 3pw,season 16,0.08485170763441108,-1,0.008790964944413384,-0.00020506313195908113,0.01822959994553594
NanooseObs_1970-2018,mann-kendall 3pw,season 17,0.0883311562868121,-1,0.01036398262233339,-0.0009774222087071145,0.019037170734433374
NanooseObs_1970-2018,mann-kendall 3pw,season 18,0.0799398404953815,-1,0.007280384827849225,-0.0010745926898005436,0.017188009891885868
NanooseObs_1970-2018,mann-kendall 3pw,season 19,0.034525447755673344,95,0.01003871759119352,0.0009350674932718713,0.017705722942472333
NanooseObs_1970-2018,mann-kendall 3pw,season 20,0.12669796082145446,-1,0.0061378979503199345,-0.0031592076904780604,0.015986276469721197
NanooseObs_1970-2018,mann-kendall 3pw,season 21,0.2554939683022921,0,0.004060111293350124,-0.005974349364408629,0.013703798682635309
NanooseObs_1970-2018,mann-kendall 3pw,season 22,0.024185036295084394,95,0.010402710246962684,0.0026335157858089725,0.01790435005285114
NanooseObs_1970-2018,mann-kendall 3pw,season 23,0.06068047266543353,-1,0.00978153010032243,6.736977498437213e-05,0.018315574691218008
NanooseObs_1970-2018,mann-kendall 3pw,season 24,0.3030965324675492,-1,0.015064559854504181,0.003950592423369996,0.029499593493977308
NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-0,0.5030370130775135,-1,0.014590008465967965,-0.017804305333729935,0.04448747242549596
NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-1,0.041456909675791964,95,0.025193084092447922,0.0017744292421807944,0.04906276459218986
NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-2,0.661353237644444,-1,-0.0006796828598319152,-0.020360588143136654,0.016935124504291146
NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-3,0.13794566169862832,-1,0.016946956309602666,-0.009163826315388604,0.03796135501848833
NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-4,0.06245457213100969,-1,0.015256305920473464,-0.00324991438230947,0.033622474483219415
NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-5,0.42642461891641004,-1,0.0008826707211364938,-0.016248626397562357,0.018016644501803458
NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-6,0.14228515047324408,-1,0.00905827931580978,-0.006284527486813542,0.02453435290112249
NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-7,0.9245610555289139,-1,-0.004408333728128633,-0.016443281536940114,0.004867712856694811
NanooseObs_1970-2018,"mann kendall 3pw all seasons, seasonal mk",season-8,0.09120375437746775,-1,0.007854776437219962,-0.005006314286162787,0.023327508739989684
