model-obs-name,test,season,p,ss,slope,lcl,ucl
HOTSS_v1.02,mann-kendall 3pw,season 1,0.4952867602977147,0,0.0024325033451757486,-0.0034231147085318275,0.009410444025365235
HOTSS_v1.02,mann-kendall 3pw,season 2,0.4658973881161266,0,0.003061344779457039,-0.005310634017869568,0.01262848031650762
HOTSS_v1.02,mann-kendall 3pw,season 3,0.5220542678768723,0,0.0031842536312737357,-0.0049315473427244474,0.01121287520223346
HOTSS_v1.02,mann-kendall 3pw,season 4,0.7835801504291398,0,0.0015321761690438847,-0.005253909476074233,0.009207056524692758
HOTSS_v1.02,"mann kendall 3pw all seasons, seasonal mk",season-0,0.7668567682388832,0,0.0013762309224974105,-0.006781592163165571,0.010564083056979376
HOTSS_v1.02,"mann kendall 3pw all seasons, seasonal mk",season-1,0.30149552170586214,0,0.006256428811233469,-0.005306019537489997,0.015809472017167633
HOTSS_v1.02,"mann kendall 3pw all seasons, seasonal mk",season-2,0.7820843735026151,0,0.0004420426367749158,-0.00621369236434973,0.007785360663218601
HOTSS_v1.02,"mann kendall 3pw all seasons, seasonal mk",season-3,0.9895648601306644,0,-0.00089824664116876,-0.014632183100505207,0.014048589321360336
HOTSS_v1.02,"mann kendall 3pw all seasons, seasonal mk",season-4,0.42056321455539214,-1,nan,nan,nan
HOTSS_v1.02,"mann kendall 3pw all seasons, nonseasonal mk",season-0,0.3615665813321265,-1,0.0024212014999098275,-0.002381292141897042,0.007427062769355871
HOTSS_v1.02,"mann kendall 3pw all seasons, nonseasonal mk",season-1,0.3615665813321265,-1,0.0024212014999098275,-0.002381292141897042,0.007427062769355871
