model-obs-name,test,season,p,ss,slope,lcl,ucl
HOTSS_v1.02,mann-kendall 3pw,season 1,0.8125085458048833,0,0.0010140601660747807,-0.007017453355711493,0.007855097339668136
HOTSS_v1.02,mann-kendall 3pw,season 2,1.0,0,-1.5180487043318152e-05,-0.008905031997676687,0.007830801861242673
HOTSS_v1.02,mann-kendall 3pw,season 3,0.6292031763118553,0,-0.002259559809632417,-0.010698867218346892,0.006193384833310403
HOTSS_v1.02,mann-kendall 3pw,season 4,0.9096221353961886,0,-0.0006583029359470984,-0.010497616110977513,0.007690397568943456
HOTSS_v1.02,mann-kendall 3pw,season 5,0.744891472543834,0,0.0019484795187899998,-0.006062625276723096,0.011612035630365426
HOTSS_v1.02,mann-kendall 3pw,season 6,0.6284436367082953,0,0.001904015157876625,-0.00492747335181499,0.011196828876726683
HOTSS_v1.02,mann-kendall 3pw,season 7,0.4407833666003569,0,0.00407063123986101,-0.004581285898746097,0.012604959249444743
HOTSS_v1.02,mann-kendall 3pw,season 8,0.6142474350237725,0,0.003214807859078014,-0.0060562748458155595,0.012506237192158482
HOTSS_v1.02,mann-kendall 3pw,season 9,0.96292509372887,0,-0.00046398492319815857,-0.010206263661892059,0.009424364230651603
HOTSS_v1.02,mann-kendall 3pw,season 10,0.6530785762864473,0,0.0019827508124358093,-0.006853843661501247,0.011860725090771141
HOTSS_v1.02,mann-kendall 3pw,season 11,0.6381570271128183,0,0.0023795015450497744,-0.0069069822135414405,0.01311082336609492
HOTSS_v1.02,mann-kendall 3pw,season 12,0.947859977968412,0,0.00018535856442902497,-0.007796030772273885,0.008924464638412252
HOTSS_v1.02,mann-kendall 3pw,season 13,0.8355864341125854,0,0.001193731654237311,-0.007459512332798914,0.010117932376839158
HOTSS_v1.02,mann-kendall 3pw,season 14,0.6309950399173054,0,0.002580433285918827,-0.005368724234293047,0.012268453098750347
HOTSS_v1.02,mann-kendall 3pw,season 15,0.8078142165841911,0,0.001145196322169442,-0.00682932631874564,0.010261959194119733
HOTSS_v1.02,mann-kendall 3pw,season 16,0.614239541598542,0,0.002504740298092108,-0.005438185683657962,0.011817713766694915
HOTSS_v1.02,mann-kendall 3pw,season 17,0.6283848735156932,0,0.0023050588392805028,-0.0052849219256549725,0.00895278053451765
HOTSS_v1.02,mann-kendall 3pw,season 18,0.9457024715498787,0,0.00048534133471946886,-0.008025301984885224,0.0073364564225759455
HOTSS_v1.02,mann-kendall 3pw,season 19,0.795791881562907,0,0.0011305110415331765,-0.0058851111953335785,0.00801503885751366
HOTSS_v1.02,mann-kendall 3pw,season 20,0.7334631920155024,0,0.001836744992388651,-0.006805569104683565,0.008090592739056601
HOTSS_v1.02,mann-kendall 3pw,season 21,0.9320955597597091,0,0.00039436848537606435,-0.007844830183780349,0.007097801793150972
