Meter,Depth,Type,Date Start,Date End,Latitude,Longitude,CCE,CCE Mag.,CCE Deg.,Mean Mag. Obs. (m/s),Mean Dir. Obs. (deg.),Mean Mag. Mod. (m/s),Mean Dir. Mod. (deg.),Simple Bias (m/s),Complex Bias,RMSE,CRMSE
BDYPM,220.0,Total,2017-12-03,2018-03-26,48.76642,-123.03878,(0.53-0.29j),0.6,-28.69,0.28,54.83,0.01,60.76,-0.27,(-0.22-0.16j),0.5,0.43
BDYPM,220.0,Non-Tidal,2017-12-03,2018-03-26,48.76642,-123.03878,(0.01-0.02j),0.02,-52.26,0.28,54.89,0.01,60.76,-0.27,(-0.22-0.16j),0.36,0.24
BDYPM,220.0,Tidal,2017-12-03,2018-03-26,48.76642,-123.03878,(0.64-0.35j),0.73,-28.56,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
BDYPM,220.0,Total,2018-10-26,2018-12-31,48.76642,-123.03878,(0.48-0.34j),0.58,-35.22,0.29,43.35,0.01,60.76,-0.28,(-0.19-0.21j),0.5,0.41
BDYPM,220.0,Non-Tidal,2018-10-26,2018-12-31,48.76642,-123.03878,(-0+0.01j),0.01,107.01,0.29,43.39,0.01,60.76,-0.28,(-0.19-0.21j),0.36,0.23
BDYPM,220.0,Tidal,2018-10-26,2018-12-31,48.76642,-123.03878,(0.59-0.42j),0.72,-35.32,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
JF2C,182.0,Total,2016-05-10,2017-06-06,48.355976,-124.21578,(0.68-0.23j),0.72,-18.32,0.09,44.64,0.04,103.13,-0.04,(-0.02-0.07j),0.25,0.23
JF2C,182.0,Non-Tidal,2016-05-10,2017-06-06,48.355976,-124.21578,(0.13-0.01j),0.13,-5.45,0.09,44.59,0.04,103.1,-0.04,(-0.02-0.07j),0.17,0.15
JF2C,182.0,Tidal,2016-05-10,2017-06-06,48.355976,-124.21578,(0.78-0.26j),0.82,-18.41,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
JF2C,182.0,Total,2017-06-15,2018-07-02,48.355976,-124.21578,(0.73-0.45j),0.86,-31.45,0.11,38.36,0.04,100.84,-0.07,(-0.03-0.09j),0.25,0.24
JF2C,182.0,Non-Tidal,2017-06-15,2018-07-02,48.355976,-124.21578,(0.18-0.13j),0.22,-35.13,0.11,38.38,0.04,100.84,-0.07,(-0.03-0.09j),0.15,0.12
JF2C,182.0,Tidal,2017-06-15,2018-07-02,48.355976,-124.21578,(0.78-0.48j),0.91,-31.44,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
JF2C,182.0,Total,2018-08-04,2018-12-31,48.355976,-124.21578,(0.87-0.35j),0.94,-21.82,0.03,80.98,0.04,101.25,0.01,(0.01-0.01j),0.19,0.19
JF2C,182.0,Non-Tidal,2018-08-04,2018-12-31,48.355976,-124.21578,(0.19-0.07j),0.2,-19.43,0.03,81.23,0.04,101.37,0.01,(0.01-0.01j),0.1,0.1
JF2C,182.0,Tidal,2018-08-04,2018-12-31,48.355976,-124.21578,(0.91-0.36j),0.98,-21.83,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
MAC,55.0,Total,2016-01-01,2016-04-15,48.4011,-123.408485,(0.73-0.12j),0.74,-9.36,0.04,110.01,0.03,117.47,-0.01,(-0.02+0j),0.18,0.18
MAC,55.0,Non-Tidal,2016-01-01,2016-04-15,48.4011,-123.408485,(0.1+0.05j),0.11,26.8,0.04,109.98,0.03,117.54,-0.01,(-0.02+0j),0.11,0.11
MAC,55.0,Tidal,2016-01-01,2016-04-15,48.4011,-123.408485,(0.84-0.15j),0.86,-9.85,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
MAC,55.0,Total,2016-04-15,2016-10-27,48.4011,-123.408485,(0.61-0.14j),0.63,-13.19,0.09,95.98,0.04,123.47,-0.05,(-0.06-0.01j),0.23,0.22
MAC,55.0,Non-Tidal,2016-04-15,2016-10-27,48.4011,-123.408485,(0.18-0.06j),0.19,-17.61,0.09,96.06,0.04,123.5,-0.05,(-0.06-0.01j),0.16,0.15
MAC,55.0,Tidal,2016-04-15,2016-10-27,48.4011,-123.408485,(0.74-0.17j),0.76,-13.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
MAC,55.0,Total,2017-11-01,2018-03-27,48.4011,-123.408485,(-0.12-0.03j),0.13,-165.17,0.04,297.05,0.03,115.34,-0.0,(0.06-0.03j),0.28,0.27
MAC,55.0,Non-Tidal,2017-11-01,2018-03-27,48.4011,-123.408485,(0.05-0.19j),0.2,-75.13,0.04,297.03,0.03,115.38,-0.0,(0.06-0.03j),0.17,0.15
MAC,55.0,Tidal,2017-11-01,2018-03-27,48.4011,-123.408485,(-0.17-0.01j),0.17,-175.81,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
MAC,55.0,Total,2018-03-27,2018-10-29,48.4011,-123.408485,(-0.03+0.27j),0.27,95.82,0.16,226.39,0.03,122.04,-0.13,(0.14+0.09j),0.31,0.26
MAC,55.0,Non-Tidal,2018-03-27,2018-10-29,48.4011,-123.408485,(-0.04+0.03j),0.05,141.8,0.16,226.35,0.03,122.08,-0.13,(0.14+0.09j),0.24,0.17
MAC,55.0,Tidal,2018-03-27,2018-10-29,48.4011,-123.408485,(-0.03+0.39j),0.39,93.98,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
MAC,55.0,Total,2018-10-29,2018-12-31,48.4011,-123.408485,(0.78-0.03j),0.78,-2.47,0.06,124.58,0.04,115.61,-0.02,(-0.02+0.02j),0.17,0.17
MAC,55.0,Non-Tidal,2018-10-29,2018-12-31,48.4011,-123.408485,(0.15+0.08j),0.17,29.2,0.06,124.75,0.04,115.56,-0.02,(-0.02+0.02j),0.1,0.1
MAC,55.0,Tidal,2018-10-29,2018-12-31,48.4011,-123.408485,(0.88-0.05j),0.89,-3.29,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Sooke,180.52,Total,2018-10-13,2018-11-28,48.2897,-123.6538,(0.28+0.21j),0.35,37.52,0.31,113.66,0.02,95.89,-0.29,(-0.26+0.12j),0.41,0.29
